CAT: CAPITAL - COUNTRY
DIFF: EASY
BUENOS AIRES,ARGENTINA
CANBERRA,AUSTRALIA
VIENNA,AUSTRIA
BRUSSELS,BELGIUM
BRASILIA,BRAZIL
BANDAR SERI BEGAWAN,BRUNEI
PHNOM PENH,CAMBODIA
OTTAWA,CANADA
SANTIAGO,CHILE
PRAGUE,CZECH REPUBLIC
COPENHAGEN,DENMARK
CAIRO,EGYPT
HELSINKI,FINLAND
PARIS,FRANCE
BERLIN,GERMANY
ATHENS,GREECE
BUDAPEST,HUNGARY
NEW DELHI,INDIA
JAKARTA,INDONESIA
TEHRAN,IRAN
BAGHDAD,IRAQ
DUBLIN,IRELAND
JERUSALEM,ISRAEL
ROME,ITALY
TOKYO,JAPAN
KUWAIT CITY,KUWAIT
LUXEMBOURG,LUXEMBOURG
KUALA LUMPUR,MALAYSIA
MEXICO CITY,MEXICO
MONACO,MONACO
AMSTERDAM,THE NETHERLANDS
WELLINGTON,NEW ZEALAND
OSLO,NORWAY
ISLAMABAD,PAKISTAN
PANAMA CITY,PANAMA
BEIJING,CHINA
LIMA,PERU
MANILA,THE PHILIPPINES
WARSAW,POLAND
MOSCOW,RUSSIA
SAN MARINO,SAN MARINO
RIYADH,SAUDI ARABIA
SINGAPORE,SINGAPORE
PRETORIA,SOUTH AFRICA
SEOUL,SOUTH KOREA
MADRID,SPAIN
STOCKHOLM,SWEDEN
DAMASCUS,SYRIA
TAIPEI,TAIWAN
BANGKOK,THAILAND
ANKARA,TURKEY
ABU DHABI,UNITED ARAB EMIRATES
LONDON,UNITED KINGDOM
WASHINGTON D.C.,UNITED STATES OF AMERICA
HANOI,VIETNAM
DIFF: MEDIUM
KABUL,AFGHANISTAN
TIRANA,ALBANIA
ALGIERS,ALGERIA
ANDORRA LA VELLA,ANDORRA
LUANDA,ANGOLA
ST JONH'S,ANTIGUA AND BARBUDA
NASSAU,BAHAMAS
MANAMA,BAHRAIN
DHAKA,BANGLADESH
BRIDGETOWN,BARBADOS
THIMPHU,BHUTAN
SARAJEVO,BOSNIA AND HERZEGOVINA
GABORONE,BOTSWANA
SOFIA,BULGARIA
PRAIA,CAPE VERDE
YAOUNDE,CAMEROON
BANGUI,CENTRAL AFRICAN REPUBLIC
BOGOTA,COLOMBIA
MORONI,COMOROS
SAN JOSE,COSTA RICA
ZAGREB,CROATIA
HAVANA,CUBA
NICOSIA,CYPRUS
KINSHASA,DEMOCRATIC REPUBLIC OF THE CONGO
ROSEAU,DOMINICA
SANTO DOMINGO,DOMINICAN REPUBLIC
QUITO,ECUADOR
EL SALVADOR,SAN SALVADOR
ASMARA,ERITREA
TALLINN,ESTONIA
ADDIS ABABA,ETHIOPIA
LIBREVILLE,GABON
TBILISI,GEORGIA
ACCRA,GHANA
ST GEORGE'S,GRENADA
GUATEMALA CITY,GUATEMALA
CONKARY,GUINEA
BISSAU,GUINEA-BISSAU
GEORGETOWN,GUYANA
PORT-AU-PRINCE,HAITI
TEGUCIGALPA,HONDURAS
AMMAN,JORDAN
ASTANA,KAZAKHSTAN
NAIROBI,KENYA
VIENTIANE,LAOS
RIGA,LATVIA
BEIRUT,LEBANON
MASERU,LESOTHO
MONROVIA,LIBERIA
TRIPOLI,LIBYA
VILNUS,LITHUANIA
ANTANANARIVO,MADAGASCAR
MALE,MALDIVES
BAMAKO,MALI
VALLETTA,MALTA
NOUAKCHOTT,MAURITANIA
PORT LOUIS,MAURITIUS
CHISINAU,MOLDOVA
ULAANBAATAR,MONGOLIA
PODGORICA,MONTENEGRO
RABAT,MOROCCO
NAYPYIDAW,MYANMAR
WINDHOEK,NAMIBIA
YAREN,NAURU
KATHMANDU,NEPAL
MANAGUA,NICARAGUA
NIAMEY,NIGER
ABUJA,NIGERIA
PYONGYANG,NORTH KOREA
MUSCAT,OMAN
RAMALLAH,PALESTINE
PORT MORESBY,PAPUA NEW GUINEA
ASUNCION,PARAGUAY
DOHA,QATAR
BRAZZAVILLE,REPUBLIC OF THE CONGO
BUCHAREST,ROMANIA
KIGALI,RWANDA
BASSETERRE,ST KITTS AND NEVIS
CASTRIES,ST LUCIA
KINGSTOWN,ST VINCENT AND THE GRENADINES
SAO TOME,SAO TOME AND PRINCIPE
DAKAR,SENEGAL
BELGRADE,SERBIA
VICTORIA,SEYCHELLES
FREETOWN,SIERRA LEONE
BRATISLAVA,SLOVAKIA
HONIARA,SOLOMON ISLANDS
MOGADISHU,SOMALIA
COLOMBO,SRI LANKA
KHARTOUM,SUDAN
PARAMARIBO,SURINAME
BERN,SWITZERLAND
DODOMA,TANZANIA
DILI,TIMOR-LESTE
LOME,TOGO
PORT-OF-SPAIN,TRINIDAD AND TOBAGO
TUNIS,TUNISIA
ASHGABAT,TURKMENISTAN
KAMPALA,UGANDA
KIEV,UKRAINE
MONTEVIDEO,URUGUAY
VATICAN CITY,VATICAN
CARACAS,VENEZUELA
SANA'A,YEMEN
HARARE,ZIMBABWE
DIFF: HARD
YEREVAN,ARMENIA
BAKU,AZERBAIJAN
MINSK,BELARUS
BELMOPAN,BELIZE
